uri,url,error
http://data.bibliotheken.nl/doc/nbt/p275825779,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C258500,empty graph
http://data.bibliotheken.nl/doc/nbt/p279953488,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C63271,empty graph
http://data.bibliotheken.nl/doc/nbt/p28359375X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C39515,empty graph
http://data.bibliotheken.nl/doc/nbt/p288223276,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C513570,empty graph
http://data.bibliotheken.nl/doc/nbt/p288240561,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C384412,empty graph
http://data.bibliotheken.nl/doc/nbt/p291130941,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C91434,empty graph
http://data.bibliotheken.nl/doc/nbt/p291240798,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C185138,empty graph
http://data.bibliotheken.nl/doc/nbt/p291486495,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C596653,empty graph
http://data.bibliotheken.nl/doc/nbt/p291579779,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C311588,empty graph
http://data.bibliotheken.nl/doc/nbt/p29204156X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C596652,empty graph
http://data.bibliotheken.nl/doc/nbt/p292160283,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C597171,empty graph
http://data.bibliotheken.nl/doc/nbt/p292988605,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C600992,empty graph
http://data.bibliotheken.nl/doc/nbt/p293080844,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C602922,empty graph
http://data.bibliotheken.nl/doc/nbt/p294528423,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C605203,empty graph
http://data.bibliotheken.nl/doc/nbt/p294535039,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C605206,empty graph
http://data.bibliotheken.nl/doc/nbt/p294959688,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C605855,empty graph
http://data.bibliotheken.nl/doc/nbt/p296024600,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C608798,empty graph
http://data.bibliotheken.nl/doc/nbt/p296142301,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C611141,empty graph
